HTTrack3.49-2+htsswf+htsjava launched on Tue, 18 Jul 2017 12:42:29 at https://www.rabbitsreviews.com/ https://www.rabbitsreviews.com/Default.aspx +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv
(winhttrack -Wr3%e3C2%Ps2u1k%s%uN0%I0p3DaK0c8H0%kf2A5000000%c10#L5000000%f0#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" -P 192.168.2.229:8080 https://www.rabbitsreviews.com/ https://www.rabbitsreviews.com/Default.aspx -O1 "K:\rabbit\rabbit" +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

13:32:25	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c26/Movies.html
13:32:25	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c57/Non-Nude.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:25	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c57/Non-Nude.html
13:32:26	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c56/Pay-Per-View.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:26	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c56/Pay-Per-View.html
13:32:26	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c25/Peeing.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:26	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c25/Peeing.html
13:32:26	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c35/Porn-Stars.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:26	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c35/Porn-Stars.html
13:32:26	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c93/POV.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:26	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c93/POV.html
13:32:26	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c28/Pregnant.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:26	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c28/Pregnant.html
13:32:26	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c43/Softcore.html (from https://www.rabbitsreviews.com/Default.aspx)
